STATEFIPS,STATE,zipcode,agi_stub,N1,mars1,MARS2,MARS4,PREP,N2,NUMDEP,TOTAL_VITA,VITA,TCE,VITA_EIC,RAL,RAC,ELDERLY,A00100,N02650,A02650,N00200,A00200,N00300,A00300,N00600,A00600,N00650,A00650,N00700,A00700,N00900,A00900,N01000,A01000,N01400,A01400,N01700,A01700,SCHF,N02300,A02300,N02500,A02500,N26270,A26270,N02900,A02900,N03220,A03220,N03300,A03300,N03270,A03270,N03150,A03150,N03210,A03210,N03230,A03230,N03240,A03240,N04470,A04470,A00101,N17000,A17000,N18425,A18425,N18450,A18450,N18500,A18500,N18800,A18800,N18300,A18300,N19300,A19300,N19500,A19500,N19530,A19530,N19550,A19550,N19570,A19570,N19700,A19700,N20800,A20800,n21020,a21020,N04800,A04800,N05800,A05800,N09600,A09600,N05780,A05780,N07100,A07100,N07300,A07300,N07180,A07180,N07230,A07230,N07240,A07240,N07220,A07220,N07260,A07260,N09400,A09400,N85770,A85770,N85775,A85775,N09750,A09750,N10600,A10600,N59660,A59660,N59720,A59720,N11070,A11070,N10960,A10960,N11560,A11560,N06500,A06500,N10300,A10300,N85530,A85530,N85300,A85300,N11901,A11901,N11902,A11902
50,VT,0,1,111580,85090,14170,10740,45360,130630,26200,5900,2140,3760,860,1440,12620,30760,1314871,111570,1346018,82490,963138,23700,11699,14740,28241,13320,19296,1690,800,16620,113552,11790,10571,9940,55612,16860,137654,950,4790,15900,4750,10831,1560,4686,21490,31147,130,29,90,576,1620,4760,760,2779,5390,5016,700,1972,0,0,5810,89884,97859,3670,32483,2210,2170,1870,813,4390,16656,110,31,5560,22513,2600,14551,0,0,0,0,40,59,20,62,2880,3950,1610,5449,0,0,49820,312894,48670,33180,0,0,1190,591,10350,3374,770,37,220,92,2100,1529,3910,647,1880,839,90,35,14140,19686,5100,18624,5020,17366,2690,1433,96880,181921,31090,59882,25370,52128,13020,14784,2880,2558,2530,2011,42510,29414,53660,50699,0,0,0,0,10820,9734,88260,138337
50,VT,0,2,82760,51960,18820,11310,35600,132950,32310,1670,840,830,30,680,13670,19160,3006587,82780,3066101,72330,2426615,20940,12790,13520,40635,12830,29294,7220,3592,12130,136240,10440,26072,8290,75651,13600,213453,940,6340,24264,15360,104046,3120,27224,25680,59514,1390,334,80,859,3050,11435,2720,11159,14380,15384,310,754,60,347,13180,194163,513858,4110,36526,11520,17047,1010,699,11510,44167,1010,496,13210,64294,9160,50643,70,201,190,40,1360,1719,70,29,7240,12023,3290,16939,30,98,80890,1714000,80020,214897,0,0,5440,4373,29260,22606,3480,202,2640,1334,4520,4809,12490,2434,13880,13041,960,622,10070,25291,7590,26044,8430,31171,5130,3154,80870,357207,12420,24615,9020,18327,8280,11187,2210,2005,1270,1286,71180,192875,74340,221146,0,0,0,0,12820,20029,68760,151729
50,VT,0,3,46270,19540,22650,3620,24140,91870,23610,170,0,170,0,0,4550,14920,2851399,46260,2906848,40370,2171527,18790,13201,11810,49417,10880,36257,10840,6784,8870,106641,9910,39322,6750,86142,10960,241188,330,2370,10103,11500,175358,2730,32424,17770,55449,2040,509,180,1921,2040,11491,2210,10758,8350,9193,260,534,150,1146,17070,278200,1081293,3420,31569,16500,41579,250,267,15990,68506,1190,598,17000,111025,13810,81755,380,1117,470,114,2570,3195,160,154,11100,20994,2990,17907,30,165,46020,1906591,45750,267235,0,0,1320,2361,18840,24719,4070,341,2480,1311,2530,3432,2310,412,10480,15525,1780,1475,6760,19479,960,3912,1710,7384,900,905,45620,336580,0,0,0,0,570,759,2130,2140,0,0,44160,242908,44860,266097,0,0,0,0,10810,24499,34600,90583,63420,51444,711580,1831661
50,VT,0,4,30070,5830,22190,960,16060,71610,18860,0,0,0,0,0,1880,10270,2617891,30050,2663815,26300,1931226,14670,11664,9180,46602,8590,35978,8360,6374,6280,93425,7330,43844,4840,81761,7730,208364,290,1060,4702,7560,152962,1970,29554,12470,45924,1260,335,60,845,890,6306,1340,6890,5360,6122,0,0,60,420,13720,260956,1218614,1860,20200,13290,46318,100,142,13090,67406,860,562,13730,116032,11260,75897,190,685,220,68,1870,2493,190,255,9710,21851,2190,14200,40,262,29960,1862444,29740,267481,0,0,300,990,13730,21764,2800,376,2630,1509,2270,3231,0,0,8260,13131,1170,1327,4770,15946,0,0,400,1607,110,189,29760,313992,0,0,0,0,0,0,1410,1455,0,0,29410,245476,29580,264678,0,0,0,0,7320,21573,21300,67045
50,VT,0,5,39530,3900,33800,590,22500,103710,30330,0,0,0,0,0,930,13600,5472982,39530,5574273,34740,3810688,24120,29196,17190,156496,16230,125983,14860,16227,8570,193032,14550,189103,7260,182370,10580,372597,0,400,1728,8720,209889,5300,178643,17760,101291,2180,591,790,11777,2270,20534,1390,8215,5650,6166,450,936,330,3579,30910,762818,4426915,1890,24959,30350,204171,40,73,29720,203105,1760,1253,30910,414218,24810,181802,580,1348,990,272,230,166,540,865,24820,75467,4460,36050,240,910,39460,4179802,39270,719962,480,1427,0,0,19070,27163,6450,1688,3750,2035,2420,3719,0,0,6530,8430,1800,3309,6890,31938,0,0,0,0,0,0,39200,787504,0,0,0,0,0,0,2150,2223,0,0,39050,689575,39170,731963,40,24,0,0,12500,67761,23320,103034
50,VT,0,6,9620,600,8150,0,7040,26430,8140,0,0,0,0,0,0,3320,4061746,9620,4136422,8010,1892110,7680,40146,6390,249078,6190,213156,2590,10839,2320,125969,6250,526171,1520,71135,1700,82145,0,0,0,1580,41852,3320,571404,3960,74676,20,6,440,12104,1070,12749,0,0,0,0,0,0,190,5775,9310,619924,3949752,70,2845,9150,274180,0,0,8940,104273,280,245,9310,382417,6300,64751,20,67,250,38,0,0,570,4184,8390,128661,1210,26542,0,0,9600,3361616,9600,869990,6420,49381,0,0,4570,18019,3260,5600,580,293,0,0,0,0,0,0,210,741,2240,16466,0,0,0,0,0,0,9520,892121,0,0,0,0,0,0,0,0,0,0,9580,842156,9600,894432,3350,4939,4990,20428,3900,93123,2870,39425
50,VT,05001,1,1340,1050,130,140,480,1480,300,90,30,60,0,30,190,370,15373,1340,15707,1010,11525,270,139,160,272,150,207,30,14,190,1283,120,114,110,563,200,1598,20,40,106,60,83,0,0,240,334,0,0,0,0,0,0,0,0,60,62,20,66,0,0,70,1260,1081,60,612,30,27,30,12,60,220,0,0,70,300,20,183,0,0,0,0,0,0,0,0,50,59,20,45,0,0,600,3654,580,388,0,0,0,0,130,35,0,0,0,0,20,12,60,8,30,10,0,0,160,201,50,184,50,178,30,17,1180,2166,370,706,330,610,150,171,30,24,30,29,510,353,620,572,0,0,0,0,120,102,1080,1662
50,VT,05001,2,1070,700,200,140,420,1630,370,50,20,30,0,30,180,250,39167,1070,39873,940,31677,250,115,150,475,140,357,80,38,150,1722,120,175,100,1094,170,2729,0,40,158,180,1207,30,247,330,706,20,5,20,228,60,181,40,167,180,189,0,0,0,0,160,2592,6105,70,781,120,176,40,39,150,604,0,0,160,804,110,553,0,0,0,0,30,22,0,0,100,167,30,119,0,0,1050,23035,1040,2902,0,0,80,53,340,270,50,3,50,26,60,62,140,21,160,151,0,0,120,283,80,215,90,260,50,32,1050,4533,150,265,110,208,100,122,30,27,30,17,940,2632,960,2964,0,0,0,0,160,269,890,1814
50,VT,05001,3,590,250,260,70,280,1150,300,0,0,0,0,0,70,170,36304,590,36881,530,29186,230,109,130,512,120,390,120,70,100,997,110,180,80,881,120,2985,0,30,120,130,1821,40,348,230,577,40,9,0,0,30,197,50,216,120,140,30,49,0,0,210,3261,12790,40,409,190,454,0,0,190,879,60,29,210,1373,160,875,30,47,30,4,20,39,0,0,140,238,40,310,0,0,590,24552,590,3519,0,0,30,65,230,290,40,3,40,19,40,50,50,8,140,204,50,22,70,176,30,106,40,187,20,22,590,4476,0,0,0,0,20,22,40,39,0,0,570,3229,580,3430,0,0,0,0,110,220,460,1215
50,VT,05001,4,350,90,240,30,190,790,200
